tweet_preproc,sentiment
  rt tedigoqueweb el esperanza votar hoy en argetntina eleccionesargentín elecciones2015,pos
  vigoroth92 siiiii a macri,neu
rt juancampanella solo desde el mente de uno chorro él poder pensar que uno cargo público ser uno premio,neg
  sciolifpv yo voto a favor de argentina no querer buitre llevar él él nuestro,neg
  rt infobae alertar sobre aumento del 35 en el canasta navideño,neu
q lindo ir a ser cuanod asuma macri el 1012 y ser gobierno y leer a mariposapontia quejar él y decir él gana en el urna jajaja,neg
  balotaje 2015 quién ser daniel scioli,neu
rt pritym q verguenza frente a el escuela q yo tocar votar en el matanza xeso y mucho mas cambier macripresidente,neg
  rt amsisti rinconet mumimumi09 en uno barrio d córdoba ver este sciolipresidente mejorscioli,neu
  rt marianovci elecciones2015 12 año vender humo hoy él acabar hoyvotomacri,neg
  cerrar votación en sidney india moscú y japón ganar scioli,pos
  rt telesurtv elecciones2015 si estar en argentina mándano foto para mostrar el ambiente electoral argentinadecidir,pos
  ya cumplir él voté a macri rompí boleta de scioli ahora dejen de romper el bola,neg
  quién estar peor que ayer video gt gt lt lt conciencia mejorscioli,neu
rt jofa2010 scioli ser tanto maricon y poco hombre q aterrorizar a el jubilado y pensionado para sacar él votosmiedo votamacri,neg
  gran dia de elección en mi argentina que vivir el democracia con conciencia a votar por el nuevo cambio dio iluminar a mi pais,pos
  fiscalizar con el compañero ir scioli,neu
  rt liliana2ok lilianatrar aries2011956 nadie él ir a tocar hoyvotomacri cambier,neu
  ya empezar el votación del ballotage en mar del plata,neu
  rt ferbeg59 ya llegar el día y el día ser hoyyyy hoyvotomacri macripresidente,neu
  rt dillonsofia scioli en el 2008 prometistar el ruta del cereal y nunca el hiciste abandono total dejar de mentir elijo cambier,neg
  pedir amlo crear comités en el 300 distrito tras rendir protesta indicar que el elección presidencial n,neu
  rt germanpmartinez elegir nunca ser tanto fácil mejorscioli sciolipresidente,pos
  rt sweetanny15 por el chico yocambio macripresidente,neu
  rt payaso1342 fbuenabad marianamarocco mejor scioli,pos
rt cristiangomez01 duelo final quien ganar el eleccion presidencial macri = rt scioli =  mg elecciones2015,neg
  en chubut y argentino macri ser el ajuste salvaje y volver al 2001 mejorscioli,pos
  el pib yo ir a votar convencido que atrás no volver el corazón en el sobre ganascioli,pos
  rt benderargentino haber víctima de el inseguridad el corrupción y el negligencia k que hoy no poder votar fuera el basura k mañanavot,neg
  rt marceloopir mas de él mismo cambier,neu
  rt c4v3c4v3c4v3 parecer aue alguien él haber equivocar de país candidato de todofachada xd,neg
  abg arcangelalvarado maduro felicitar el instalación de misión de unasur que acompañar elección del 6d cocor,pos
rt barometrocm 1 por problema con el web dar el dato de el oleada de el 15 hora también por aquí scioli 27 92 macri 59 89,neg
  el diferencia con argentina ser que allá el institución no estar secuestrado venezuela ser el país más destruido de américa latino,neu
  rt rusocarp elección lanzar uno sistema para denunciar irregularidad,neg
  elecciones2015 tú saber que no yo importar santiago jujuy tucucmar él decir part gay mi economista el ser mi economista primisio,neu
  rt sebakatz 45 mes del 22f ahí tenés de vido randazzo scioli cristina zannini jaime a ese haber q ganar él cambier,neg
  argentinaaaaa suerte a votar mi amor ir ir arribaesoscorazonesmacri presidente,pos
  rt poleroán hoyvotomacri por el imprescriptibilidad de el delito macripresidente,neg
  rt agfernandezok hoy ser el día yocambio cambier macripresidente proargentín procapitalba,neu
  marinamaveval no querer cambiar por el ajuste el recesión el despido y uno argentina para poco mejorscioli ganascioli uyolaplata,neg
  votar x uno futuro no ir hacer cosa q tener q salir a plaza d mayo a reclamar nuestro derecho yovotoascioli,neg
  buen dia mejor domingo para tods ya estar en el esc 101 s lorencer ct fiscalizar pfpv mejorscioli sciolipresidente danielscioli,pos
  hoy hacer historia cambier,neu
rt lanataenel13 reportar problema en mucho escuela del conurbano el robo de boleta de macri ser masivo en lugar como laferrerir y ba,neg
  rt lanataenel13 hoy argentino decir bastar a el atropello institucional al estado que perseguir a el corrupción y a el mentira viv,neg
  tener que ir a fiscalizar roto jejar alto noche yahoracomomerescato votación balotaje,neg
rt juliobazanok al violar el veda cristín él dar el golpe de gracia a scioli recordar teorema samid,neg
  rt cesarogo6189 churrivazquez él ir tiñendo de rojo el país después de el elección perdido yacaré po orlar efrén el del aca,neg
  rt laupucar el esperanza ser imparable hoy cambier con macripresidente yocambio,pos
  hoy él hacer patria carajo sciolipresidente,neg
  rt infobae ser aceptar el boleta del 25 de octubre y el que no tener fecha elecciones2015,neu
  susanadiaz andalucia dar el fuerza que necesitar el psoe para ganar el elección del 20d elcambioqueunir,pos
  rt guillelobo él votar en argentina ser uno día histórico teamoargentín,pos
  rt tomypresta mi voto ser realizar mejorscioli yovotoascioli,pos
  rt herniarc elecciones2015 tropaarg domingodeganarseguidor uno pro de macri a caballito de el peor mentira política hoyvotomar,neg
  rt lanacion proliferar el venta ilegal de animal silvestr en nuevo pompeya,neg
  hoy tener que ganar scioli,pos
  rt lanacion el primero publicidad de el muñeca barbie en el que aparecer uno nene revolución el red,pos
  rt infobae elecciones2015 envelopewitharrow dónde voto consultá dónde votás para el ballotage,neu
  cuando tú traicionar el subconsciente votar el mal menor scioli ser mas que mauri por suerte no voto prohibido votar a el derecha,neg
  rt pblcabj ya todo listo para arrancar hoyvotomacri y cuidoelvoto cambier,neu
  venezuela argentina bolivia ecuador brasil cupu él bimillonaria país endeudado en ruina éxito total de castro,neg
  quién estar peor que ayer video gt gt lt lt conciencia mejorscioli,neu
  el peronismo cordobés romper con de el sota y votar por scioli,pos
  rt dragonesdenano ir a querer meter miedo pero salir 22n a el 18hs al correo y en todo el pai evitar fraude del fpv difundar htt,neg
  rt lanacion vida cruzado amigo rival empresario y al final político,neg
  españa elección general 20d mariano rajoy pp esgrimir su bagaje frente a el experimento,neu
  rt lauritalonso gracias a el mil de president de mesa y fiscal q hoy ir a cuidar el voto de todo gracias elecciones2015 ele,pos
  rt carlosramirezl3 vivar el elección maduro tener 50 nuevo corredor de barrio nuevo barrio tricolor en 2016,neu
  el verdadero argentina k the simpson vía youtube hoyvotomacri,pos
  rt sebakatz 45 mes del 22f ahí tenés de vido randazzo scioli cristina zannini jaime a ese haber q ganar él cambier,neg
  ivanknopoff yo tampoco pero no querer sufrir el ajuste como trabajador entonces voto a scioli no querer desempleo,neg
  perfilcom el peronismo morir con perón no hablés pelotudez el partido no ser massa solamente,neg
  rt dwcubas argentinadecidir el elección que ser decisivo para el resto del continente dwespanol,pos
  rt carlosramirezl3 si todo el día de todo el semana de todo el mes de todo el año estuvieramos en elección venezuela ser,neu
  rt robertovieu importante para votar llevar dni y memoria elecciones2015,pos
  rt guidovaleri balotaje abrir el comicio hasta el 18 hs él elegir al próximo presidente seguí todo el elección por radiomitre e,pos
yo acabar de decir si hoy ganar macri salimos ya estar ir a votar real,neg
  arrancar el guardián de el urna fiscal cambier mauripresidente 135 flexedbiceps,neu
  ir scioli manoduro,neu
  rt cololarroudek decis que cristina llevar gente pagar a el acto que ser mentira y macri reconocer llevar gente pagar a su acto en jujuy,neg
  empezar el balotaje en argentina tener uno nuevo presidente todo él mejor en este etapa del país,pos
  rt marin1966marin hacer uno encuesta mañana ser el balotaje presidencial quién querés que ser el presidente comparti rt backhandindexpointingdown,pos
  aguante scioli el re conchaber de briner,neu
  primero para ganar él a el vieja de mano problemasconlaselección elecciones2015 eleccionesargentín,neu
  argentina él jugar el independencia votante estar ante uno confrontación de modelo uno francis noticia,neg
  sciolipresidente votar en elección presidencial,neu
  jogre8a tropachavista venezuela chavista apoyar a scioli argentinadecidir ganascioli mejorscioli tropaarg argentinadecidir avotarpor él,pos
rt unsubversivo al peronismo él ponés boleta electrónico y perder hasta en el museo evitar,neg
  que lindar este de que ser el tanto ansiada elección yo imaginar que no seguir romper el bola con política no,pos
  rt todonoticia el lactancia materno ser clave para el bebé prematuro,neu
  rt hanalfabeto y finalmente el banco central él ir a pegar uno manotazo a el depósito en dólar pero ojo no vot a macri porque v,neu
  ir a votar a carmen lomán en el elección,neu
  rt vtvcanal8 videovtv mario silva ojalá el clase medio de argentina sepa él que estar en riesgo,pos
  tardar en hacer el denuncia 2 segundo y el pequeño momento de mi vida a el que llamar felicidad balotaje2015,neg
  llego el día cambier,neu
  recién llegadito de bloo ahora a dormir en uno rato arriba y a votar a macri,neu
  rt fedepugliese llego el día donde junto hacer historia ser hoy ser acá ser ahora feliz ir argentino proargentina,neu
rt juliomcrós rt miguelhuerta32 el último favor de cfk a macri votar hablar durante 28 min y él denunciar por violar el veda,neg
rt marianoobarrio uno vergüenza el autoridad d el escuela donde votar scioli q dejar q el gente grite él sentir scioli presidente ser,neg
rt lilianarui este ser el bandera que no querer en el argentina por ese backhandindexpointingdown backhandindexpointingdown backhandindexpointingdown backhandindexpointingdown yovoteascioli bluecircle whitecircle bluecircle hasta el muerte,neg
  inesarrimada asegurar que ciutadans ya preparar uno nuevo elección en cataluña,pos
  rt cristian83arg ojo con el boleta que encontrar en el cuarto oscuro mañana cambier,neg
  rt noticiasvenezue cambiemo para mejor,pos
  ayer él ganar a cotto ernest hoy ganar otro vez ganascioli,pos
  rt karelbecerra si 12 año de kirchnerismo tú parecer mucho como ser 56 año de castrismo cuba argentino,pos
  rt sebakatz para ser campeón hoy haber que ganar cambier,pos
  mucho contento de ya haber emitir mi voto y de elegir segui bancar a este proyecto como siempre él hacer mejorscioli sciolipresidente,pos
  gmdeolivo alegría y pobreza para todo con macri como en 2003 tene  memorio videomatch 2003 vía youtube,pos
  rt nancysimo ya voté salí llorar del cuarto oscuro al pensar que hoy poder recuperar el democracia macripresidente hoyvotomacri,neg
  booooo ganar macri  puto macripresidente,neg
  rt vgramon saludo el venezolano él apoyar y también querer que ganar macri edumaw2013 hoyvotomacri,pos
rt echaoaperde el amor por macri él durar hasta que él ver dar él el mano a maduro en alguno cumbre porái,neg
  rt lautaromauro mejorscioli yovotoascioli sciolipresidente mi gran amigo,pos
  rt coculo el economista de scioli que pregonar tener peso comprar dólar a futuro a uno valor mayor del que prometer poner él qué pelotudo g,neg
  rt kumpalili mañana tempranito voy haber hacer él unico que poder por mi querido patria ir a ir cantar bajito nestor no él murio y,pos
  rt mariichalliol ser hoy ser acá ser ahora macripresidente,neu
  rt agrupacionlas20 en el cuarto oscuro haber sólo uno boleta con el color celeste y blanco elegí argentino mejorsciolipresidente htt,neg
  malenag rt domingomartinn el macri prodictadura en el 83 estatizar su deuda procesado argentinadebate ga,neg
  rt montenegroviki excelente domingo cro ir a cuidar el voto del pueblo que querer seguir cambiar para mejor el destino de el,pos
  uno voto menos para macri thumbsdown,neu
  rt lanacion proliferar el venta ilegal de animal silvestr en nuevo pompeya,neg
  rt latepaternal macri desobedecer el constitución de car olvidar presentar el presupuesto 2016 de el ciudad mejorscioli,neg
rt mundo24ve oposición no firmar propuesta de unasur a elección como cheque en blanco mundo24,neg
  majitoviglionar no tú convencer macri no tú convencer scioli y no tú convencer en blanco,neu
  rt todonoticia de nuevo facebook activar en argentina el herramienta yo voté decisión2015,pos
rt tomilabriolar en qué tú haber transformar arcodeindependiente hoy más que nunca cambier,neg
rt mauriciotuitero en ramos mejía matanza nadie querer perder el oportunidad de votar por el cambio nadie macripresidente,neg
  buendomingo argentino que el miedo no tú impedir el cambio elecciones2015 balotaje2015,neu
  rt ucrnacional buen día nuestro fiscal ya comenzar a cumplir su labor en todo el argentina él venir otro día de elección,pos
  rt vivirsincfkyar hoy 45 mes de el tragedia de once 52 victima por el herido por vos por mi cambiemos kirchnerismo nuncamás htt,neg
  rt macriifacts cambier mejor escabiemos,neu
  rt infobae mauricio macri del secuestro a el casa rosado elecciones2015 por silmercado,neg
  rt jefeok balotaje del desayuno,neu
  rt hernanporrasm argentino elegir hoy presidente con macri a el cabeza de el encuesta notextanddrivar,pos
  elhobbyhaitiano ah encima con insulto mucho bien chaber volver a mi primero tuit felicitación por tu pensamiento democrático cambier,pos
qué terco el kirchenista votar a scioli porque ser peronista y él de este sr no ser peronismo ser el continuidad del kirchenismo,neg
  elección 2015 el ballottage minuto a minuto,neu
  rt sciolifpv macri todavía no ganar y ya traicionar a el ucr gt gt lt lt mejorscioli,neg
  rt impactorioja operativo elección 2015 hacer instante voto el gobernador lbederherrera,neu
rt cheikerrobl fiscal de cambiemos volcar al final del comicio foto dato de escrutinio final en 22nescrutiniocambiemos,neg
  rt hijitus2015 a el joven él mostrar uno democracia ficticio quiza de ahora en mas poder recomponer él uno poco,neu
  rt ximezv voter por el inclusion para todo y todo mejorscioli sciolipresidente,neu
como hablar el gente de macri y de scioli él buscar diferencia y no saber que el dos ser de el epoca de menen informesen y despues hablar,neg
  llendo a votar elecciones2015 macripresidente,neu
rt mariacorinaya hoy argentina elegir el futuro dejar atrás el miedo el confrontación populismo el mentira uno nuevo era comenzar en el re,neg
  rt silvanagiudici gracias a el mil y mil de fiscal que cuidar nuestro voto y él comprometer con el cambio hoy ser el gran día e,pos
  rt nkcfkpinguino mejorscioli sciolipresidente hoy tú convertis en héroe perónvive evitavive nestórvive cristinaconducción,pos
  c5n lorenaseriniok robertofunesu jajar a el 18 todo yo ir a reir de él que poner menos serio que el chavo del 8 hoyvotomacri,pos
yo no votar por sciolo yo no votar por macri yo voto por el milanga y no por vos asi q cagate uno cago,neg
  buen domingo haber que ir a votar ir por el pais x nuestro bello argentino y que ser él que dio decir beso,pos
  tras rendir protesta indicar que el elección presidencial no ser uno día de campo porque el mayor desafío que él tener que enfrent,neg
  rt lapatilla comenzar el segundo fase de el elección parlamentario en egipto,neu
  rt valenciaobertar conoz el diecinueve candidatura electoral valenciano para el elección general del 20d aquí el tién ht,neu
  faltar 17d15h7 m scioli proponer continuar con el creación de escuela técnico yonovotoprocesado mok,neu
  rt republicanomm el día de cambio haber llegar ir junto ir argentina cambier hoyvotomacri,neu
  rt olivia25137956 hoyvotomacri por el unión de argentina y el libertad de poder hablar sin q tú insultar,pos
  macripresidente yocambio y entre todo cambier,neu
rt americatv denunciar a cfkargentina por violar el veda electoral elecciones2015 gt,neg
  rt lanataenel13 hoy argentino decir bastar a el atropello institucional al estado que perseguir a el corrupción y a el mentira viv,neg
  rt mrpiromalli hoyvotomacri porque ser él mejor para todo ir argentino argentino argentino blueheart whitecircle blueheart,pos
  rt ucrencambi mañana cambier,neu
  rt diegodillir scioli dejar uno déficit de 30 000 millón en su provincia no querer ni imaginarme que quedar de argentina si llegar a el,neg
  ir solo porque querer que ganar macri si no saber como él dormir,pos
  rt tnet2014 elecciones2015 argentina elegir a su próximo presidente que él uno jornada transparente y en total normalidad,pos
  ok ya yo entrar el nervio hasta el 12 de el noche q dar el resultado a yo yo ir a dar algo cambier hoy ser el día hoyvotomacri,neg
  compra ya tu giftcard de amazon gane scioli o macri después del ballotage el dólar ir a subir muchísimo,pos
  rt noticiasvenezue antonio sánchez garcía macri o venezuela,neu
tibisay trabajar durisimooo mirtayteso urgenteeeeeeeeeeeeee difundirrrrrrrrrrrrrrrrrrr,neg
rt mariuvidalfans denuncia en el escuela 169 en el matanza calle espinoso 4648 barrio san alberto no haber boleta de cambier compar,neg
  infobae jajajaj este él parecer a evita jajaj no save ni hablar,neu
  rt cuartear si vota a macri volver el quinto fest,neu
  rt carlosrivero clubsolotuarg yo también contar el día para volver a argentina él querer tanto,pos
  rt laverdadesmia hoyvotomacri y ojo decidir hacer él gracias a el campaña de scioli hacer mejor campaña para macri que para él,pos
  dos gurú ecuatoriano enemigo acérrimo tras el imagen de scioli y macri vía lainformacion,neg
  rt tnet2014 ahora estar con ezemusaschi en radio2rosario escuchar a rossiagustinok quién este a punto de votar elecciones2015,neu
  rt infobae el humillant tapa de el goleada del barça al madrid elclasico,neu
  rt griherreraok por el patria por nuestro hijo ganar scioli,neu
rt lanataenel13 reportar problema en mucho escuela del conurbano el robo de boleta de macri ser masivo en lugar como laferrerir y ba,neg
  rt sandralopezpy hoy el argentino votar o botar a scioli candidato de cristina fernández eleccionesargentina segundo vuelta el defin,neu
  rt argnoticiasok ya cerrar el balotaje pero en australia balotaje gt,neu
  rt penguinkiller62 mucho buen domingo como decir otro mauricio todo tener uno final todo terminar hoy empezar uno argentina libre htt,pos
  rt annedreux resistconaguant en el madrugada resistiendoconaguante sciolipresidente,neu
  yo él sentir por vos macri pero además de ser uno maquiavélico menemista también so is uno pelotudo yo ya voté sciolipresidente,neu
  rt soychilecl comenzar el inédito segundo vuelta presidencial en argentina,pos
  gracias raholaoficial hoyvotomacri,pos
  rt fuerzasiempre no haber pastilla del día después en el urna cuidémono scioli presidente,pos
  rt moniksv62 pablolanusse y decir yo él escuchar yo él él que haber que hacer yo ir a mandar yo yo yo mas de él mismo yo harte,neu
rt todosgroncho tíldenme de romántico incurable pero el que tener uno postgrado en perder elección no yo reímos ni sobramos a el q,neg
  rt davidmasipar este elección él ganar quien piense en españa no en su partido albertrivera ilusiónnaranja,pos
  balotaje2015 llegar el día todavía no salistar a votar compacer y conocé el propuesta en queproponen grimacingface,neu
  rt arroyfer macri en nación vidal en provincia ir a ser uno país hermoso x ese hoyvotomacri,pos
  rt myriamsandoval1 hoyvotomacri llego el dia argentino levantatar y andar,neu
  argentinadecidir increíble él que hacer el capitalista y el pro de macri nada más que para bajar y congelar salario hoyvotomacri,pos
rt unful4n0 urgente boca de urna de el 14 22 seguir indicar el tendencia de que brancateli seguir ser uno pelotudo elecciones2015,neg
  rt nikgaturro el negro oro estar detrás de scioli en mar del plata negro mier q no haber suficiente bote salvavidas en el titanic eh,neg
  rt sciolifpv quién estar peor que ayer video gt gt lt lt conciencia mejorscioli,neg
  sigar adelante ni uno paso atrás el argentino no ser tibio scioli pr zannini vice x fpv x proyecto,pos
  danielscioli qué falta de respeto y qué ignoranciar relacionar encomendar él a el pachamama con hacer 1 pacto con el diablo yo dar vergüenza,neg
rt chunibenite algien saber algo de que si ganar macri en tuinter desde enero él ir a poder escribir 15 caractere nomá,neg
  hoy en argentina cambiar de amo ir todo a el payasada del voto argentinadecidir,pos
  rt adry1bc a solo hora de el libertad tanto ansiado vamosssir argentina carajooooo mananavotomacri mananavotomacri,neu
  rt telesforodutto solo al 0 5 de el población él convenir uno producto importado no tú autodispar en el entrepierna mejorscioli ht,pos
  argentino aprovechar este dia no vot kompulsivamente penso y bien y que este ser uno dia historico chau cristín,pos
  rt mathisal todo el pibito re manejar con el ballotage yo con 16 año ni empedo yo levantar temprano para ir a votar menos dejar uno s,neu
rt caaaaamila8 no él porque ser mas pelotudo si por votar a macri o por subir el foto de el boleta agitandolo,neg
  rt ucrnacional comenzar el elección en todo el país el radical estar cuidar que él respetar el voluntad popular en cada mesa,pos
  rt ngmagaldi donar órgano salva vida redheart,pos
  rjm ya sabés dónde vota consultá el padrón aquí gt elecciones2015,neu
  pasar uno gritar el que votar a macri ser uno vender patria y yo pensar que vender algo no n poder más,neg
  sebakatz que emoción que aleger yo llego el día cambier,pos
  balotaje histórico cobertura exclusivo de nacionalcordoba desde el 8 hasta el 13 con el equipo periodístico de el radio público,neu
c5n viejo verde que ascir,neg
  rt santosjorgeh a hora del balotaje en el plata calle 10 y 43 atacar local de cambiemos y tildam a mm de gato y vender patria,neg
rt ricarf0rt yo enterar que el día de el elección no haber boleta mía yo dar asco este corrupto él creer que poder cagar al puebl,neg
  rt tvpublico 9 00 argentinaeligir l el esperar con el cobertura de visión7 gt,neu
  metrópoli balotaje2015 uno jornada histórico en nuestro país tú acompañar desde todo nuestro plataforma,neu
  hacer nuestro deber macri da verguenza haber mas boleta tuya que,neg
rt luiscarlo leo a argentino kirchnerista que decir que él irir del país si ganar macri poder venir él a venezuela aquí tener todo,neg
  elecciones2015 contentar desde temprano fiscalizar,pos
  rt japleguezuelo sancheznotecreir va a tener el peor resultado de uno candidato socialista en uno elección ir orgullo para tú htt,neg
  elección argentino 2015 en vivo,pos
  italojimenez noticiasperu argentino cerrar el ser k larepúblico pe,pos
  el presidente egipcio votar en el segundo fase de el elección legislativo,pos
  comenzar el segundo fase de el elección parlamentario en egipto egipto eleccionesel cairo 2,neu
  rt malonsocs albertcastillon ser uno elección distinto donde él hablar de cambio pero también de consenso ilusiónnaranjo,neu
  ser el 8 05 c5n ya dar como ganador por amplio margen a scioli ampliarer,pos
  rt jorgitorasa7097 fantinofantino victor0655 radiolared hoy el verdad mi familia sufrio uno hecho de inseguridad no él poder vivir mas,neg
rt crisvargasl lucioquincioc si él él morir antes de el elección el gobierno el velara para el año que venir asi como hacer c,neg
  rt majimeno elección argentino macri de empresario que crecer bajo su padre a político sin jefe,neu
  comenzar el segundo fase de el elección parlamentario en egipto bachaqueo,neu
  rt fiorellacinat cerrar votación en sidney india moscú y japón ganar scioli mejorscioli,pos
  a el 20 día de perder todo su brazo scioli él él coloco uno protesis y seguir ganar campeonato náutico con su protesis,neu
  rt nancysimo ya voté salí llorar del cuarto oscuro al pensar que hoy poder recuperar el democracia macripresidente hoyvotomacri,neg
  hacer elegir nunca ser tanto facil queganeelpai queganescioli balotaje2015,neu
  vamossss sciolipresidente ganascioli resistiendoconaguante,pos
  rt chr058 gracias x tanto elisacarrioarg elisacarrio sin vo hoy no renacer el república cambiemos yovotoamacriir,neu
  rt yamilsantoro bastar acabar de denunciar a daniel scioli ante el cámara nacional electoral por violar de el veda electoral,neg
  comenzar segundo vuelta en argentina para definir presidente buen aires 22 nov notimex el segundo vuel,pos
  rt connieansaldi no vot en blanco elegi tu presidente el d tdo hacelo x tu papas hermano hijo amigo él merecer q seas responsa,neg
  rt drmanhattanruiz hoyvotomacri balotaje2015 cambier yocambio porque querer que yo respetar y yo exijar que yo respetar a el demá,pos
  hoyvotomacri paz esperanzo futuro union equipo ir argentinar,pos
  sigar adelante ni uno paso atrás el argentino no ser tibio scioli pr zannini vice x fpv x proyecto,pos
  macri todavía no ganar y ya traicionar a el ucr gt gt lt lt mejorscioli,neg
  ir por el cambio macripresidente,neu
  rt mauriciomacri ahora llegar el revolución de el alegría yocambio macripresidente,pos
  culto de domingo en vivo desde el 10 am hrs argentino el voz de visión en cristo internacional radio,neu
  rt dragonesdenano hoy voto macri,neu
  infobae que país hecho pelota yo dejar no tener perdon de dio ni de el gente,neu
  rt elnacionalweb video humor conocer el top 3 de el delito en el elección,neg
  rt carlosramirezl3 vivar el elección maduro tener 50 nuevo corredor de barrio nuevo barrio tricolor en 2016,neu
